review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
406e32984dd5273582105460a79571af,e00ed9d20c3479f9f0e9727ca9d60946,5,,,2017-12-22 00:00:00,2017-12-22 21:10:19
3bca8d9922bed47eb96f23d121945290,3b5351f5f99b46339212291661a9d226,5,,Cumpriu o acordado!,2018-04-10 00:00:00,2018-04-13 01:57:05
65895b807ac5dfe062c82400b3f210b8,f395e98fb5c1c6ce1306e80de2fe125b,4,,,2017-04-20 00:00:00,2017-04-21 11:31:32
2a6faa65a6e893105c60b1018d40e14a,57899333b5e286632bd2599d3f7864ce,5,,,2018-04-06 00:00:00,2018-04-07 00:34:14
a738aa683a09dc5979abc7d9c2cc8029,0cc76fbe09687fda664178e9fc6c404f,5,,,2018-01-07 00:00:00,2018-01-08 13:48:20
3848b75c5bfe221557d5a85708d9c906,179643231d5131dc81e54ce16437972f,1,,"Meu produto não foi entregue, sem me da nenhuma informação. Cancelaram meu pedido sem me informar de nada.Nao gostei",2017-04-09 00:00:00,2017-04-09 10:12:21
c6d0849be662cd05ce34e0f885ac7135,c03349d196d2c2e31e41e29d06396cbf,5,,,2017-09-23 00:00:00,2017-09-25 18:42:03
755df8bd9de2206b647e2b1f64be8d13,b1746c7d13f52567b4cd6710249240c9,5,,material excelente alticima qulidade otimo,2017-07-19 00:00:00,2017-07-20 10:57:59
6bd75b3bd8efb88e88d205c1add1f51e,5347a7f07b3387d2dd23be64b9ceea32,3,parcial,Entregas separadas...ainda não chegou todo o pedido,2018-06-03 00:00:00,2018-06-04 10:14:58
dec5976bdb0c01b5ee70db58841558b4,94a280e9178a824b49777271fdf8e5cc,5,,,2018-06-27 00:00:00,2018-06-28 10:21:21
18f6814cf582ad4d011cdc33bf0ed162,427d1fd357bbc9330885c3e8f1c85325,1,,,2017-06-27 00:00:00,2017-06-29 23:17:10
1aaccb84a4591894bdc40d72bb30880b,8f1081aa8dd337d944a4f2eddb4671ab,5,,"Veio tranquilo, dentro do prazo. Recomendo",2018-02-27 00:00:00,2018-03-01 14:55:39
4191f889dcecfb068552ca5299e7e94b,a46a206fc9bc06abda01c55cfc97117d,5,,,2017-08-10 00:00:00,2017-08-12 02:34:34
b99f5a43fc7f3cac834bf173108785f6,62a56f9bfe98de42bcdbe6cc57284dfb,5,,,2018-08-19 00:00:00,2018-09-24 12:37:48
96944132792714de91e891abb833f362,ae035e1469cb0bf0ca6cd2a459277b9b,4,,,2018-01-10 00:00:00,2018-01-15 12:32:48
60afe2ce881d803e1240f8f80feefab7,d5ae5d1e79f681da04dec1b4274a0f6f,5,,...,2018-04-08 00:00:00,2018-04-09 23:30:38
ed926cb1605cf4e673122f8da5b661a6,a9b90916ddc087b5ba5b9168b82e3d7d,5,,EXCELENTE!!!,2017-07-14 00:00:00,2017-07-18 12:52:53
e3667f4ac92a9eef76efb807859e8d2f,ef9f995bbc827989f4c21bb6fcf93f77,5,,gostei muito de compra nessa loja recomendo com certa..,2017-10-07 00:00:00,2017-10-10 21:08:21
