seller_id,seller_zip_code_prefix,seller_city,seller_state
1f7fd2a6fcd5a6fa5d8a4dabc72aaae0,95800,venancio aires,RS
6e1862e15f33d9994bc25922a85e1efc,13505,rio claro,SP
e628d4a53c109f09ca88098338b3a3f5,30170,belo horizonte,MG
0249d282d911d23cb8b869ab49c99f53,5676,sao paulo,SP
bdae679a9b282249bc23b9b69dae9a99,72210,brasilia,DF
58e4b302b54937e55a678c4d15111da4,83402,colombo,PR
c3e1abd72a42fe690fcd89cf5720fe29,13840,mogi guacu,SP
aaed1309374718fdd995ee4c58c9dfcd,89120,timbo,SC
33dd941c27854f7625b968cc6195a552,29107,vila velha,ES
1d953075c2f0dd990bacf27b83b330f1,30421,belo horizonte,MG
9803a40e82e45418ab7fb84091af5231,75901,rio verde,GO
88ae906ea2acf6971f26c3e8b7cb4357,1550,sao paulo,SP
39d61be7a92eb77b7da367bd4845bc0e,13420,sao paulo,SP
6b1c4d4d9ccf0be3d8544eb0e71e5318,91130,porto alegre,RS
422be4cc81a457fdb46f47edeb968ae5,14940,ibitinga,SP
5b97c06a046398e7005b2b7c0d707a92,38770,joao pinheiro,MG
e4253cef933647000a82ff39c67b7bde,5856,sao paulo,SP
7586919161935337bf6b6d7ff5779648,21921,rio de janeiro,RJ
c33a5c3c983090c8b78a28e65052a20d,88802,criciuma,SC
71271995e85f5b8530be99ed54a91b89,91360,porto alegre,RS
50c361bcf670d16f6df4d52de3dff924,4131,sao paulo,SP
5a8e7d5003a1f221f9e1d6e411de7c23,13076,campinas,SP
48162d548f5b1b11b9d29d1e01f75a61,13403,piracicaba,SP
7daca0837f033a41a6f3428c18657533,15170,tanabi,SP
80ceebb4ee9b31afb6c6a916a574a1e2,86026,londrina,PR
270d3ef21830ad0ecf3a6c53d08a533a,6380,carapicuiba,SP
700f03c207639c22d933381ff60b35c2,14784,barretos,SP
818d28f936e791926d33bcb6ee94ef79,4141,sao paulo,SP
fe87f472055fbcf1d7e691c00b1560dc,13085,campinas,SP
b8578d2d823bd8e251f6fdd02b40902d,89069,blumenau,SC
ffc470761de7d0232558ba5e786e57b7,7091,guarulhos,SP
54219883e72aad869adfb2a54b7bfa0f,18060,sorocaba,SP
62de60d81c55c29d76a6bce418b31cef,14940,ibitinga,SP
7dc8c42cc750eeafea6c85712ffee9bf,5424,sao paulo,SP
f12d3c2a14729ae461b920c11fe20fdc,9080,santo andre,SP
2d8cfba3fcd3170555941605edaa196a,6080,osasco,SP
bc302730ea8cf49b5c74f579febb5bbf,13015,campinas,SP
d8d9567d0bfb0bc7eb845a205ba42657,3688,sao paulo,SP
b026643914f651e8371425e5b8a1e780,22783,rio de janeiro,RJ
28872dc528e978a639754bc8c2ce5a4c,95070,caxias do sul,RS
4aba391bc3b88717ce08eb11e44937b2,45816,arraial d'ajuda (porto seguro),BA
0aa2205ca24f113f4658a5c536667426,4281,sao paulo,SP
6b3bd31ad8fcda4b2635ec9f3ff2ecdf,22775,rio de janeiro,RJ
640e21a7d01df7614a3b4923e990d40c,14940,ibitinga,SP
f0837c8d71434931d9e38e7b79234797,95995,arvorezinha,RS
28fb0829fd777877cdc350d25cb5bd5b,15051,sao jose do rio pret,SP
71593c7413973a1e160057b80d4958f6,3407,sao paulo / sao paulo,SP
61f159ef6da2d441951d2c0efa719362,29160,serra,ES
0725b8c0f3f906e58f70cbe76b7c748c,7023,guarulhos,SP
c840d3fdbba0790404fdae73d253b253,81530,curitiba,PR
68f86ba270525243e68ae74044f992b9,21941,rio de janeiro,RJ
dd8a29ce82d5c705ba932d81494600a5,8220,sao paulo,SP
c9a06ece156bb057372c68718ec8909b,73020,brasilia,DF
8e4f041ff58e7845456d3482524014b3,90250,porto alegre,RS
6973a06f484aacf400ece213dbf3d946,12230,sao jose dos campos,SP
6806dad1da97bfb5a9038eac6881f706,83280,guaratuba,PR
8ae520247981aa06bc94abddf5f46d34,88370,navegantes,SC
002100f778ceb8431b7a1020ff7ab48f,14405,franca,SP
59de1d4c8c057c2a53acd4ca66531af2,80215,curitiba,PR
661ad5fcc28cdfb8bcadb12bb2272475,88330,balneario camboriu,SC
822bad9bc42b51213ba522fe87b7ab5d,88330,balneario camboriu,SC
b6f52e346160519c24a23af05410ad32,1254,sao paulo,SP
9da1ca0bef29ee170e541927a5aeabdc,15500,votuporanga,SP
081acf3de680d554796c9cf041be7bc2,33200,vespasiano,MG
8648b1e89e9b349e32d3741b30ec737e,12308,jacarei,SP
c7246702dc991a06d788120dc7544391,60440,fortaleza,CE
4bde6149c15cf7e177b36fa060dd6de8,99500,carazinho,RS
da4d149c0ddbac90557103ac0a0ec356,9861,sbc,SP
13f57c12a00ed4610db646b913a7f5c6,11015,santos,SP
432c67955c0acd1fd6b0b5d678766a71,5571,sao paulo,SP
34675b28b826facfde119785bf287dc1,85802,cascavael,PR
9add47bf45ce8e8c7db6b9cf670b1e09,83830,fazenda rio grande,PR
9cea4682e16655f7da87f406902e989e,83707,araucaria,PR
ede2977fbaf3738583170735ca403f6c,80010,curitiba,PR
c97aa4ee7420f937da13b7f9e2228b99,93510,novo hamburgo,RS
7fe21dd00d2f4943ae09525efa2fd674,20551,rio de janeiro,RJ
f3b80352b986ab4d1057a4b724be19d0,71200,brasilia,DF
d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,SP
85e7c62c1d6ea078c3897424f867a7c8,88220,itapema,SC
55f7a3319d80f7fdf078b8f03e6725fe,6056,osasco,SP
1660ad786c27fd935378b6192a90b417,9891,sao bernardo do campo,SP
228e4c1a0be164f613d41c24345f9d2c,86360,bandeirantes,PR
7a2d2949aea47fab95fd98d6c9f618b1,81350,curitiba,PR
c4af86330efa7a2620772227d2d670c9,8840,mogi das cruzes,SP
7f40d06aa0b5f1aa4f41af8c0480e2ef,13506,rio claro,SP
1d2732ef8321502ee8488e8bed1ab8cd,20031,rio de janeiro,RJ
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
e00d85ce20ea50c1224c66ca5050527d,6286,osasco,SP
0aa124728afc1131dff5655f4c6f487b,37135,alfenas,MG
013900e863eace745d3ec7614cab5b1a,80740,curitiba,PR
3febca52652e7209509ccfe61cbde40e,8596,itaquaquecetuba,SP
52092ddbd3a58c450a4459bf051b2287,17300,dois corregos,SP
c12d7463a579237ffb9248bd7cff378b,8275,sao paulo,SP
9ac75591b69c3402684b6ce0310f22ee,2880,sao paulo,SP
c33847515fa6305ce6feb1e818569f13,88359,brusque,SC
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP
7238a95bb63ef7e498389fb863b834a1,13487,limeira,SP
6dc9bec584588412a6a338830946a3e4,3270,sao paulo,SP
ae7ab174effdead6c241e547e4ca13f0,86703,arapongas,PR
4be9ae93c4fc0f41713d71a4194ee1b3,35500,divinopolis,MG
e1a210d482714ce337763a19aef94ba4,85807,cascavel,PR
c7b7db6c8f3c64a7cc1afa634db21d50,4367,sao paulo,SP
741f8c587cb4248ebc5b779a0e8e0e51,9110,santo andre,SP
ba6ce6de456f6c11d08c17701ba5c26f,18044,sorocaba,SP
cb162c8eef257253782d245c08d9097c,6419,barueri,SP
2f9b7ce230a057a98a9f5df5893ee36c,6460,barueri,SP
ecccfa2bb93b34a3bf033cc5d1dcdc69,81810,curitiba,PR
04fdea0c111866e6cf812f1570d6b5bd,8411,sao paulo,SP
6dd7dce75cd55c1ce255dc38d9f0cd46,88137,palhoca,SC
70c0fda4c313d87115644d39e62eec60,55004,caruaru,PE
788f22bafdd7ab0e1e79f19db72f16a4,4137,sao paulo,SP
701938c450705b8ae65fc923b70f35c7,15014,s jose do rio preto,SP
3d39fbf22a665714baf62fae36029e23,13040,campinas,SP
2f3d8b4c9e2ee165075331fea3f3095a,88107,sao jose,SC
ab27bbbad5239bc31a34709275a70db4,18279,tatui,SP
3968920b9aa752ab98f7d5888c9252f2,17056,bauru,SP
95ec4458365c4d11f452ccf538377619,13481,limeira,SP
734def04b237117a09321dd6d8f3f2a2,13604,araras,SP
df47da4ae86fa4db890d05aaf24e21d8,4360,sao paulo,SP
02f623a8eb246f3c5f7c2f96462654e6,18611,botucatu,SP
bd1d49a326abfa9b1036772e40445430,17017,bauru,SP
ea00f977a203ff88adf7057cb7806998,11085,santos,SP
4d6d651bd7684af3fffabd5f08d12e5a,17209,jau,SP
1a6245add4353f18ed55138808906979,9694,sao bernardo do campo,SP
6e2d3e2dc84fb30f6078f39dd3bddd6f,83408,colombo,PR
3fac58ce0ad699020c7944d53c41329c,3480,sao paulo,SP
c7bb64409aa480bb7d0335faaaf3d242,89218,joinville,SC
2fdde51ad3e12f297da656d4fbd5d0b5,89228,joinville,SC
f9eedec3129e8cc6b6429c42d0808c5b,22793,"rio de janeiro, rio de janeiro, brasil",RJ
1464afc72f696af775557a821c2e253f,28630,nova friburgo,RJ
8629a7efec1aab257e58cda559f03ba7,74223,goiania,GO
83deb69e889cf80f82be1dc6d5f2d486,88056,florianopolis,SC
92d14edfb62ee5ae7fdff70b0f4e7233,9810,sao bernardo do campo,SP
4aba6a02a788d3ec81c03137144d9a80,89460,canoinhas,SC
d20b021d3efdf267a402c402a48ea64b,14940,ibitinga,SP
b6d44737c043328708f6749c2dbe50bd,9230,santo andre,SP
1c129092bf23f28a5930387c980c0dfc,2972,sao paulo,SP
2f4b9d112bfa44a214bc6cef085d17c8,29600,afonso claudio,ES
5b2e94f2c22b39ccc24d34ad0f669672,1214,sao paulo,SP
45ba18c210d42734ec52c0c1c574e9ee,18130,sao roque,SP
bff9deb0ec77d437f3305a79cf25529e,13481,limeira,SP
2e2f44824ab87a0cb961f68bf4073e7f,82315,curitiba,PR
0fe2d9733ed841eb064503920015a8c0,19906,ourinhos,SP
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP
9c3a1c416c765687bc79a04113269929,35547,carmo da mata,MG
78a4d36f65a019172c6154468831a69f,17018,bauru,SP
fac1a9017ade7bdc94058fc1c969f355,1126,sao paulo,SP
49067458c68f7701fd334ce326accbe0,36050,juiz de fora,MG
5f3ae9136c875522250f8184f253413a,1550,sao paulo,SP
d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC
af7cdac9d9897cddead9c6b08976c642,18500,laranjal paulista,SP
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC
63ffcb71394dd8ea3872ed9ffda17c74,24813,itaborai,RJ
7d7866a99a8656a42c7ff6352a433410,1320,sao paulo,SP
5f5b43b2bffa8656e4bc6efeb13cc649,4880,sao paulo,SP
15ac3c501e2599e4917316fde5c5669a,4911,sao paulo,SP
49cdc90518a4f82676b38b3c1aa43ff6,3031,sao paulo,SP
b18dc380845b24038cfc48006478f099,9951,diadema,SP
0ff83046c3fa22efee8ecf291888b191,95110,caxias do sul,RS
f80edd2c5aaa505cc4b0a3b219abf4b8,3431,sao paulo,SP
265fdc289dffa9f1ad801c74f7d0de47,15155,jaci,SP
5bc237df65098fe211bb4818f4d26d78,38410,uberlandia,MG
8b321bb669392f5163d04c59e235e066,1212,sao paulo,SP
c3867b4666c7d76867627c2f7fb22e21,14580,guara,SP
485452467ff670447e84a8370c3fc898,89190,taio,SC
5f1dc28029d2c244352a68107ec2b542,5126,sao paulo,SP
ebd1417732defaf66c50b5a800eb293e,86047,londrina,PR
d2df77822373f19934e87694d8640767,86706,arapongas,PR
cc5a78bbad32776dc4e3af205218368c,35501,divinopolis,MG
a6bd7d1ccdac48c6b33b28596b7eb122,58280,mamanguape,PB
a90a5da8b09e44264a177c0374a5ac87,84010,ponta grossa,PR
850913d59ce317156b00f3705f1c3edb,12942,atibaia,SP
9bcdfa7b615b3abb9461d9e3ad9886ae,89053,blumenau,SC
2b3e4a2a3ea8e01938cabda2a3e5cc79,4733,sao paulo,SP
bb7ad8a45c027be8ab075b8e465f8ca0,88056,floranopolis,SC
623ad9d0c1e14bb5464a8c72bff7b4af,35530,claudio,MG
38e679b9e0064cd94c6f035707344dae,86010,londrina,PR
44073f8b7e41514de3b7815dd0237f4f,71070,brasilia,DF
562fc2f2c2863ab7e79a9e4388a58a14,13070,campinas,SP
7d7d2b7a51328016102d4528c411d630,14940,ibitinga,SP
4978a02ea9c8be7a9b5480680f40334e,8215,sao paulo,SP
a0415d9b25ede3c4b1e477e9916ffc03,26255,nova iguacu,RJ
12a8eb0f8d1cd3270695bf2a99f55966,4607,sao paulo,SP
f8e2c1b59cd4225a3e4fd0d013a76b93,14021,ribeirao preto,SP
97e995629983723d11830a829bc2b246,12604,lorena,SP
751bdc4d83a466c7206cd42e8f426b03,9405,ribeirao pires,SP
43402bdf22aa2310e8f99e2f94f78628,9434,ribeirao pires,SP
0936e1837d0c79253456bbb2ffaaef10,2050,sao paulo,SP
9f56a7a649097b166d8ed286ad86a15c,21041,rio de janeiro,RJ
9e6229250fedbe05838fef417b74e7fb,16800,mirandopolis,SP
50c9975695009e5e6473912e83a6d1da,35530,claudio,MG
643214e62b870443ccbe55ab29a4dccf,2134,sao paulo,SP
ec8879960bd2221d5c32f8e12f7da711,13253,itatiba,SP
f97e2b0650c2068227e1d366140eb62f,13830,santo antonio de posse,SP
ede0c03645598cdfc63ca8237acbe73d,14092,ribeirao preto,SP
080102cd0a76b09e0dcf55fcacc60e05,31140,belo horizonte,MG
ad97a199236354e53fcd91a5a913e9a2,88350,brusque,SC
522620dcb18a6b31cd7bdf73665113a9,85801,cascavel,PR
1caf283236cd69af44cbc09a0a1e7d32,26020,nova iguacu,RJ
455befea1bb853c75ccbca94cff26e5c,27525,resende,RJ
3d0cd21d41671c46f82cd11176bf7277,89217,joinville,SC
5d0363b33554b373851fc1622e4d5f3c,12952,atibaia,SP
2ba91c7ad80ff88b23b7db823b43c233,13310,itu,SP
db1f0f7c7e5e87f40b62226f020bb297,83322,pinhais,PR
138dbe45fc62f1e244378131a6801526,2215,sao paulo,SP
99eaacc9e6046db1c82b163c5f84869f,14400,franca,SP
89dda63a3c907c468ec88c310ed91213,9380,maua/sao paulo,SP
57fe6232e67823593374a2281d7a8af8,13360,capivari,SP
21d59342ba150175ca2aa4f8faddeca6,8593,itaquaquecetuba,SP
bbad7e518d7af88a0897397ffdca1979,1512,sao paulo,SP
c353f8fc0ce8344999f17d578eb69a5e,90850,porto alegre,RS
333c4210e76a1aa2ab817b99437e3ff1,13880,vargem grande do sul,SP
a254c682cc01e119f83530446f1df9a9,16500,cafelandia,SP
a4bd6e9adf39b63f43dc545d3ca1f53d,21020,rio de janeiro,RJ
ef2fbc2b607d8492bcffe657a4645434,20051,rio de janeiro,RJ
714b9a1332840f257b49f476bea4e341,15910,monte alto,SP
3bb32fedaa74e4ad20f4ce067733bd31,88210,porto belo,SC
134285d1f41da5c13a756ee8142c8a4e,2523,sao paulo,SP
2953ce3a88f5e3c3b696d77fc9e4c8eb,4270,sao paulo,SP
720e6cf846ea7572cbb66b743fb91e6c,8717,mogi das cruzes / sp,SP
4c61e37f664c3c88aff092aa5ac779d7,24020,niteroi,RJ
9906e7aa42a3c067b7c9a564d01c4320,87065,maringa,PR
bbe87dce25ba8b38bb61cc7210a3f10b,13870,sao joao da boa vista,SP
44ed138eca6214d572ce1d813fb0049b,92010,canoas,RS
85ecf03781da592876b7844acc1b729f,3658,sao paulo,SP
4bcec44888b30ba9001234c534716d3f,9230,santo andre,SP
ea4e9ce63a2134743b4a92777437fcdd,88135,palhoca,SC
cac4e0bc1a3269fa2b6ea5e763f6115b,88351,brusque,SC
ffad1e7127fb622cb64a900751590acd,13465,americana,SP
c70a353f02429c00775a46a75fb787da,8275,sao paulo,SP
863d2ebcd347ce4922de7a0f9a5581d6,21041,rio de janeiro,RJ
a11a0e0ca67423425691db355cff69b0,13330,indaiatuba,SP
3d49bfdd1b43a7fe169b3740067acc61,39400,montes claros,MG
0b35c634521043bf4b47e21547b99ab5,84530,teixeira soares,PR
c1f12f926d0ba950578b4fa41115cbb6,4317,sao paulo,SP
e26901d5ab434ce92fd9b5c256820a4e,9350,maua,SP
725af026f869236a8dd0ceb98564d156,35530,claudio,MG
3d4b1ae7539303b5704493798893e82c,3244,sao paulo,SP
b94cc9f10ddc85e4ba73a6f7974e7101,27930,macae,RJ
96e5dc09087bad639b4ee193104ec2e5,28660,bom jardim,RJ
961dff0a659b4561334372337dd897d9,21510,rio de janeiro,RJ
f45122a9ab94eb4f3f8953578bc0c560,13419,piracicaba,SP
83b08de96980757220871b31bf6cffca,21820,rio de janeiro,RJ
28d162ab86bb49d719c32f0ee6186eaa,14079,ribeirao preto,SP
d197aa8fbc64087f61984deef05f6227,12224,sao jose dos campos,SP
54c04bdb5ec46762f8f08c7e8f86ed4a,88037,florianopolis,SC
09f952a5f58d2285b0372551ae8f9b01,9725,sao bernardo do campo,SP
8603f0038fe0e52fedd3382d266723de,88495,garopaba,SC
c0098efcf800861dcae589affca31408,14080,ribeirao preto,SP
d4e4b5192cba4e0e66eb12a9d347239d,85904,toledo,PR
c8c1bea22194a4eefa2dc9a9fa89f536,88210,porto belo,SC
bbd3acfe6de99892e73940d3fdceaf68,9111,santo andre,SP
51e0557bc7b86de13e946c60ee91ce39,31510,belo horizonte,MG
6338ea67c41078a46ad99cc009654956,95170,farroupilha,RS
